CME__Globex__Volume,Commodity_Indicator,Description,ExPit_Volume,Exchange_Name,Future_Option_Indicator,MTD_ADV,OTC_Volume,Open_Interest,Pit_Volume,Product_Description,Total_Volume,trade_date
2469091.0,ED,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),F,2489852.0,5862.0,12768269.0,14899.0,EURODOLLAR FUTURE,2489852.0,20190102
1450071.0,21,INTEREST RATES,0.0,Chicago Board of Trade (STATS),F,1537295.0,79843.0,4123783.0,7381.0,10Y NOTE FUTURE,1537295.0,20190102
889986.0,25,INTEREST RATES,0.0,Chicago Board of Trade (STATS),F,963916.0,73748.0,4684504.0,182.0,5Y NOTE FUTURE,963916.0,20190102
98526.0,ED,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),O,548244.0,15000.0,10469729.0,434718.0,EURODOLLAR CALL,548244.0,20190102
384098.0,26,INTEREST RATES,0.0,Chicago Board of Trade (STATS),F,446761.0,62663.0,2741783.0,0.0,2Y NOTE FUTURE,446761.0,20190102
335035.0,17,INTEREST RATES,0.0,Chicago Board of Trade (STATS),F,350234.0,14626.0,946932.0,573.0,30Y BOND FUTURE,350234.0,20190102
327754.0,41,INTEREST RATES,0.0,Chicago Board of Trade (STATS),F,327754.0,0.0,2278186.0,0.0,30D FED FD FUTURE,327754.0,20190102
198369.0,21,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,268293.0,0.0,1465255.0,69924.0,10Y NOTE PUT,268293.0,20190102
57774.0,ED,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),O,229474.0,0.0,18100618.0,171700.0,EURODOLLAR PUT,229474.0,20190102
65113.0,E0,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),O,229313.0,0.0,2725435.0,164200.0,1YR MIDCRV CALL,229313.0,20190102
172663.0,21,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,215908.0,0.0,1756329.0,43245.0,10Y NOTE CALL,215908.0,20190102
159851.0,TN,INTEREST RATES,0.0,Chicago Board of Trade (STATS),F,165022.0,5171.0,723002.0,0.0,ULTRA 10-YEAR U.S. TNOTE FUT,165022.0,20190102
130569.0,UBE,INTEREST RATES,0.0,Chicago Board of Trade (STATS),F,145182.0,14613.0,1087842.0,0.0,ULTRA T-BND FUT,145182.0,20190102
121172.0,E0,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),O,133872.0,0.0,4940954.0,12700.0,1YR MIDCRV PUT,133872.0,20190102
74448.0,25,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,105382.0,0.0,1363686.0,30934.0,5Y TRS NT PUT,105382.0,20190102
52462.0,E2,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),O,77162.0,0.0,2116812.0,24700.0,2YR MIDCRV PUT,77162.0,20190102
44252.0,E3,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),O,50152.0,0.0,943256.0,5900.0,3YR MIDCRV PUT,50152.0,20190102
30902.0,E2,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),O,48102.0,0.0,1375516.0,17200.0,2YR MIDCRV CALL,48102.0,20190102
40500.0,17,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,45275.0,0.0,431021.0,4775.0,30Y BOND CALL,45275.0,20190102
26219.0,25,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,40792.0,0.0,541344.0,14573.0,5Y NOTE CALL,40792.0,20190102
33411.0,17,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,34836.0,0.0,429134.0,1425.0,30Y BOND PUT,34836.0,20190102
24985.0,TY1,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,25335.0,0.0,55413.0,350.0,10Y WK1 NOTE CALL,25335.0,20190102
14973.0,TY2,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,20973.0,0.0,33412.0,6000.0,10Y WK2 NOT PUT,20973.0,20190102
11806.0,E3,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),O,19956.0,0.0,1014550.0,8150.0,3YR MIDCRV CALL,19956.0,20190102
15921.0,TY1,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,16271.0,0.0,104258.0,350.0,10Y WK1 NOTE PUT,16271.0,20190102
12679.0,TY2,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,12679.0,0.0,36250.0,0.0,10Y WK2 NOTE CALL,12679.0,20190102
11663.0,TY3,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,11663.0,0.0,16613.0,0.0,10Y WK3 NOTE PUT,11663.0,20190102
10927.0,26,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,10927.0,0.0,51555.0,0.0,2Y NOTE CALL,10927.0,20190102
7120.0,FV2,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,7120.0,0.0,13892.0,0.0,5Y WK2 NOTE PUT,7120.0,20190102
6321.0,SR3,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),F,6321.0,0.0,32150.0,0.0,THREE-MONTH SOFR FUTURES,6321.0,20190102
3059.0,US1,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,5309.0,0.0,34449.0,2250.0,30Y WK1 BOND CALL,5309.0,20190102
3724.0,US2,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,3724.0,0.0,8665.0,0.0,30Y WK2 BOND CALL,3724.0,20190102
3522.0,TY3,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,3522.0,0.0,3747.0,0.0,10Y WK3 NOTE CALL,3522.0,20190102
72.0,UBE,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,3342.0,0.0,40581.0,3270.0,ULTRA T-BND PUT,3342.0,20190102
3094.0,WY1,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,3094.0,0.0,0.0,0.0,WK 1 PUT WEDS 10 YR TREASURY NOTE OPTIONS,3094.0,20190102
730.0,LIT,INTEREST RATES,0.0,Chicago Board of Trade (STATS),F,2730.0,2000.0,19783.0,0.0,2-YEAR ERIS SWAP FUTURE,2730.0,20190102
2546.0,SR1,INTEREST RATES,0.0,Chicago Mercantile Exchange (STATS),F,2546.0,0.0,41458.0,0.0,ONE-MONTH SOFR FUTURES,2546.0,20190102
2456.0,WY2,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,2456.0,0.0,2314.0,0.0,WK 2 PUT WEDS 10 YR TREASURY NOTE OPTIONS,2456.0,20190102
2428.0,FV2,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,2428.0,0.0,6314.0,0.0,5Y WK2 NOTE CALL,2428.0,20190102
2385.0,FV1,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,2385.0,0.0,19416.0,0.0,5Y WK1 NOTE CALL,2385.0,20190102
2261.0,US2,INTEREST RATES,0.0,Chicago Board of Trade (STATS),O,2261.0,0.0,5787.0,0.0,30Y WK2 BOND PUT,2261.0,20190102
